command_address,response_address,command_memory,response_memory,command_memory_count,response_memory_count,comm_read_function,comm_write_fun,resp_read_fun,resp_write_fun,sub_function,command_length,resp_length,gain,reset,deadband,cycletime,rate,setpoint,control_mode,control_scheme,pump,solenoid,crc_rate,measurement,time,result
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.540229856967926,1.26954435817184,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.1282020436964,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.08064759283664,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.00672489035977,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.25535313801935,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.23138691286933,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.23204779491187,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.24984022240535,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.09738913949593,b'0'
1.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.01072840198488,b'6'
